"Site.Code","CT.nbsp","CT.sing.sp","CT.FEve","CT.FDiv","CT.FDis","CT.RaoQ","CWM.Mass","CWM.Litter","CWM.GR","CT.Shannon"
"BBS",24,24,0.604928411583544,NA,0.280019248050832,0.085574889290148,61519.8461961233,1.58684138453069,6177377.83321236,2.63521660610096
"BCI",28,28,0.504519312633033,NA,0.28889727654989,0.0885559189842497,7159.63063077864,2.56001439868355,7995791.38048849,2.88356716670894
"BIF",22,22,0.703737736830786,NA,0.27728350976425,0.0812028278462523,121025.212856639,1.39493884576267,4103374.56908586,2.54209051730507
"CAX",29,29,0.564259909059286,NA,0.287866384943893,0.0936167641261914,24600.4158840996,2.35782880009583,11882334.0493564,3.00034202825571
"COU",36,36,0.450655547316191,NA,0.300560745161602,0.0988707207328981,18958.4887315626,2.19800013397125,10741916.2593503,3.2012815539484
"KRP",26,26,0.567232852338852,NA,0.253912498031509,0.0712287956808475,29534.4209109501,1.53160848212039,2764329.43293394,2.94704721727836
"MAS",27,27,0.528731963018043,NA,0.285432979405752,0.0943395203227651,17929.8565624976,2.28853315280948,10604938.5860303,2.9627425661649
"NNN",32,32,0.647785319964454,NA,0.276290641431014,0.085140634295213,253652.29628858,1.39442540034206,5416548.5106875,3.11643600027285
"PSH",31,31,0.633119093002998,NA,0.316340258488483,0.114306799013095,53029.068834003,1.94780334014279,5758688.59977967,2.81686404796217
"RNF",16,16,0.726672163824518,NA,0.288488588945096,0.0941512530294723,3940.72558602588,2.81489738962011,831961.25202738,2.45242500757558
"UDZ",27,27,0.482369121624785,NA,0.273742107302006,0.0826859587640788,146867.357603817,1.57615598052934,4513983.99984345,2.81181714325967
"VB-",21,21,0.581903798531059,NA,0.289285024779236,0.0952193442162964,46752.1509977331,1.75259383972302,8236284.98976218,2.4712740250998
"YAN",23,23,0.532828128159788,NA,0.279930826429251,0.0886539999897071,26023.5590064596,2.13420798477509,12247513.933391,2.63111267532356
"YAS",37,37,0.508057800836346,NA,0.299145711674026,0.0954676984619842,15537.9990884816,2.0332420613807,11582814.6373683,3.26842468106278
