"Site.Code","CT.FDisMedian","CT.FDis.sd"
"CAX",0.287497311670875,0.00454493977479365
"MAS",0.28395199305411,0.00935053482625834
"VB-",0.288885297355753,0.00484293250257517
"BIF",0.27058025229294,0.00444210905384743
"BBS",0.282735252508162,0.00437533761958243
"NNN",0.274909711483485,0.00325730916531097
"YAS",0.299024888660961,0.00225948380224316
"RNF",0.277054005198752,0.0099855269751832
"UDZ",0.271549169600824,0.00647087537209542
"BCI",0.288523137335762,0.00214397660610378
"YAN",0.279103274012508,0.00736578005088234
"COU",0.29979681323402,0.00400605702999321
"KRP",0.25610771835738,0.00384771771897217
"PSH",0.315973337869099,0.00724014353501012
