Site.Code,nbsp ,sing.sp,FRic,FEve ,FDiv,FDis,RaoQ
BBS,20,20,8.62E-22,0.91,0.88,0.28,0.09
BCI,20,20,1.45E-28,0.89,0.92,0.31,0.10
CAX,21,21,1.82E-30,0.87,0.87,0.28,0.08
COU,26,26,5.15E-42,0.83,0.88,0.28,0.09
KRP,19,19,2.41E-27,0.82,0.90,0.29,0.09
MAS,24,24,1.20E-37,0.82,0.88,0.29,0.09
NNN,28,28,9.30E-35,0.93,0.90,0.28,0.09
PSH,28,28,1.62E-34,0.94,0.91,0.30,0.10
RNF,11,11,9.34E-14,0.68,0.78,0.25,0.08
UDZ,25,25,3.19E-29,0.94,0.93,0.30,0.10
VB-,18,18,4.30E-24,0.87,0.87,0.29,0.09
YAN,20,20,1.77E-28,0.84,0.88,0.29,0.09
YAS,25,25,6.51E-40,0.82,0.88,0.29,0.09
