"Site.Code","V.FEve","V.FDis","V.RaoQ","V.CWM.maxD","V.CWM.WD2","V.TRich","V.LRich","V.NStemsT","V.TShan","V.NStemsL","V.Cstorage","V.Cstorage2"
"BBS",0.613609317294965,1.4048348719491,2.45411410968539,56.44524939568,0.561224205156594,66.5,1.5,418.833333333333,3.33298039463303,6.66666666666667,136571.8022965,135702.82589395
"BCI",0.61702816871577,1.27650672159767,2.08945092439693,48.3133696094893,0.560081548406349,71.3333333333333,3.33333333333333,504.166666666667,3.40147567503677,6.83333333333333,129448.418930727,103989.420246622
"BIF",0.53376436742991,1.26616547796696,1.89896399105457,65.7825580701629,0.55542559011231,31.1666666666667,0.166666666666667,524.5,2.45267841808757,0.166666666666667,100274.635322513,160607.807045001
"CAX",0.630816641744186,1.08882348155762,1.47341603506853,66.1636787274552,0.716395986124992,87.1666666666667,6.16666666666667,474,3.4695441501632,10.8333333333333,258812.311045382,232927.739647148
"COU",0.616542289680375,1.17663684688913,1.8531817633202,51.6986555635409,0.550779608908264,102.333333333333,2.33333333333333,587.5,3.84433682444088,7,163600.435834447,160095.700465047
"KRP",0.559510237753683,1.16725909831106,1.87247325165207,57.6005214441995,0.642702942412744,71.6666666666667,3.83333333333333,501.666666666667,3.2995749964211,7.83333333333333,186880.772194723,177142.191238545
"MAS",0.616825300528452,1.26177372835863,1.81220082962059,50.3362501053365,0.676902009556039,123.166666666667,8.16666666666667,624.833333333333,4.02313598814624,18.5,166559.383236893,155269.591404627
"NNN",0.566076571765459,1.13461654068285,1.86071849679835,74.3631404679785,0.6457760609358,48.75,0.25,341.25,3.2433701308772,5,220606.524778441,199262.277490418
"PSH",0.651900268901594,1.30727587725589,2.12441516095709,56.0663120123057,0.561552354340697,86.1666666666667,1.16666666666667,416.833333333333,3.78340154815692,1.33333333333333,126936.966801322,121620.880871842
"RNF",0.651848469530444,1.23782105012976,1.77320863438973,45.8215767634855,0.604455702736278,77,2,1015,3.68085705897326,2,263683.511445189,207292.278671129
"UDZ",0.500807897369408,1.01586736220755,1.43861291772161,72.7369315648494,0.632005725257885,31.8333333333333,2,536,2.33766576352558,5.66666666666667,143976.739533168,166271.265044592
"VB-",0.552916768577885,1.27402666985387,2.04697799218338,54.4849348425651,0.563911948949658,59.6,2.2,562.8,3.25419780063791,5.8,166253.982149213,154535.318962831
"YAN",0.659502216904076,1.22517708654759,1.95087738075782,37.75936,0.54471339964943,87,0,781,3.60415313308722,0,107480.291707292,116325.822796959
"YAS",0.618332261968363,1.25062875095101,2.29103585907455,43.7732333000619,0.585443409613198,129.5,6.66666666666667,683.333333333333,4.15438671097886,12.1666666666667,131787.645838382,118079.187892553
