"Plot","TRich","LRich","TShan","LShan"
"1","VG-BBS-1",60,2,2.758144749968,0.562335144618808
"2","VG-BBS-2",84,2,3.70050651738589,0.690185676018804
"3","VG-BBS-3",71,1,3.60454805219992,0
"4","VG-BBS-4",78,2,3.52384252055218,0.682908104700472
"5","VG-BBS-5",55,NA,3.43797397719869,NA
"6","VG-BBS-6",60,2,3.0957204921202,0.562335144618808
"7","VG-BCI-1",74,1,3.44159501188301,0
"8","VG-BCI-2",63,NA,3.38222630857407,NA
"9","VG-BCI-3",77,5,3.60665777477574,1.15958881430863
"10","VG-BCI-4",80,7,3.58649161153535,1.6987829895138
"11","VG-BCI-5",73,5,3.39129127232623,1.46813993901621
"12","VG-BCI-6",61,1,3.00930642968293,0
"13","VG-BIF-1",40,NA,2.85476278292045,NA
"14","VG-BIF-2",29,1,2.22297404244907,0
"15","VG-BIF-3",39,NA,3.13887902388923,NA
"16","VG-BIF-4",27,NA,2.06159088722822,NA
"17","VG-BIF-5",29,NA,2.54936018955957,NA
"18","VG-BIF-6",23,NA,1.90505166852932,NA
"19","VG-CAX-1",71,9,2.99968483106035,1.97800686133212
"20","VG-CAX-2",97,8,3.6522054403103,2.04493117484959
"21","VG-CAX-3",87,8,3.20572458566176,1.84386143796137
"22","VG-CAX-4",88,3,3.61079337341009,1.08889997534522
"23","VG-CAX-5",103,7,3.80815362192983,1.76776147228933
"24","VG-CAX-6",91,10,3.56428442587698,2.16815523601597
"25","VG-COU-1",89,1,3.8622756932202,0
"26","VG-COU-2",111,4,3.93998329451383,1.33217904021012
"27","VG-COU-3",99,0,3.36869143490647,0
"28","VG-COU-4",127,4,4.23179914362782,1.33217904021012
"29","VG-COU-5",91,5,3.8222762113702,1.6094379124341
"30","VG-COU-6",101,0,3.87568167207141,0
"31","VG-CSN-1",8,0,1.55972662973767,0
"32","VG-CSN-2",9,0,1.30918411573321,0
"33","VG-CSN-3",9,0,1.47251958494366,0
"34","VG-CSN-5",9,0,1.82906637892422,0
"35","VG-KRP-1",59,5,2.96358785263533,1.47507631105469
"36","VG-KRP-2",94,2,3.60801294692226,0.636514168294813
"37","VG-KRP-3",83,2,3.5027941599285,0.636514168294813
"38","VG-KRP-4",74,6,3.54019160323673,1.6094379124341
"39","VG-KRP-5",58,2,2.98452800977432,0.562335144618808
"40","VG-KRP-6",63,6,3.20859074666059,1.47350238508065
"41","VG-MAS-1",127,9,4.11327220153169,2.13833305950803
"42","VG-MAS-2",127,6,4.12162258260592,1.73512645696292
"43","VG-MAS-3",125,10,3.91566265781996,1.90356337220356
"44","VG-MAS-4",122,7,4.1005577827052,1.76776147228933
"45","VG-MAS-5",133,8,4.03496155399283,1.74949382539366
"46","VG-MAS-6",121,9,3.93932092646474,1.76460461012507
"47","VG-NAK-1",0,0,0,0
"48","VG-NAK-2",0,0,0,0
"49","VG-NAK-3",0,0,0,0
"50","VG-NAK-4",0,0,0,0
"51","VG-NAK-5",0,0,0,0
"52","VG-NAK-6",0,0,0,0
"53","VG-NNN-1",50,0,3.21737129453691,0
"54","VG-NNN-2",42,1,2.9604956393128,0
"55","VG-NNN-3",54,0,3.50382265812053,0
"56","VG-NNN-4",54,1,3.34404653749055,0
"57","VG-NNN-5",46,0,3.1752367600877,0
"58","VG-NNN-6",49,0,3.29480570085599,0
"59","VG-PSH-1",104,2,3.80653423640491,0.693147180559945
"60","VG-PSH-2",104,4,3.92086164829853,1.38629436111989
"61","VG-PSH-3",62,NA,3.49870913272566,NA
"62","VG-PSH-4",98,NA,4.1276814804462,NA
"63","VG-PSH-5",81,1,3.90385841459186,0
"64","VG-PSH-6",70,NA,3.46061319445372,NA
"65","VG-RNF-1",59,3,3.2680240018857,1.09861228866811
"66","VG-RNF-2",76,2,3.65277687812161,0.693147180559945
"67","VG-RNF-3",66,NA,2.95989245081926,NA
"68","VG-RNF-4",59,1,3.19419716203627,0
"69","VG-RNF-5",52,NA,2.91412988682687,NA
"70","VG-RNF-6",73,1,3.64994918206834,0
"71","VG-UDZ-1",32,NA,2.07507223220069,NA
"72","VG-UDZ-2",40,2,2.95474059516725,0.562335144618808
"73","VG-UDZ-3",20,NA,1.49454136014675,NA
"74","VG-UDZ-4",46,4,3.12280971083285,1.15698764434527
"75","VG-UDZ-5",22,4,1.67968973684692,1.27703425946614
"76","VG-UDZ-6",35,2,2.77397707211623,0.673011667009257
"77","VG-VB-1",69,3,3.39115134813553,1.05492016798614
"78","VG-VB-2",73,3,3.64259197494593,0.796311640173813
"79","VG-VB-3",106,7,4.09754917803146,1.58902691517397
"80","VG-VB-4",99,4,3.89552238437687,0.940447988655326
"81","VG-VB-5",40,0,2.98826925409469,0
"82","VG-VB-6",14,0,1.73381879812014,0
"83","VG-VB-7",53,1,3.39240873459565,0
"84","VG-VB-8",43,NA,3.04560924108487,NA
"85","VG-VB-9",73,4,3.53747567039273,1.33217904021012
"86","VG-YAN-1",0,0,0,0
"87","VG-YAN-2",0,0,0,0
"88","VG-YAN-3",0,0,0,0
"89","VG-YAN-4",0,0,0,0
"90","VG-YAN-5",88,NA,3.6299584831757,NA
"91","VG-YAN-6",0,0,0,0
"92","VG-YAS-1",119,5,4.11639382351452,1.56071040904141
"93","VG-YAS-2",131,8,4.12132202838931,1.90853528164356
"94","VG-YAS-3",130,7,4.15168895294097,1.89378823239114
"95","VG-YAS-4",144,6,4.28174660721964,1.58325845942048
"96","VG-YAS-5",132,8,4.14417659143883,1.97300140639361
"97","VG-YAS-6",121,6,4.1109922623699,1.74786809746676
