"Var1","Freq"
"1","Abuta",310
"2","Acacia",17
"3","Adenocalymma",13
"4","Adenocalymna",6
"5","Aegiphila",10
"6","Agelaea",58
"7","Agleaea",35
"8","Ambavia",2
"9","Amphilophium",1
"10","Ampleocissus",2
"11","Anomospermum",15
"12","Anthodon",3
"13","Apuleia",1
"14","Arrabidaea",25
"15","Arrabidea",3
"16","Asclepias",10
"17","Bauhinia",333
"18","Brosimum",2
"19","Byrsonima",7
"20","Callichlamys",12
"21","Canthium",2
"22","Carapa",5
"23","Cheiloclinium",33
"24","Chiococca",3
"25","Cissus",2
"26","Clitoria",2
"27","Clusia",10
"28","Clytostoma",3
"29","Coccoloba",9
"30","Combretum",50
"31","Connarus",5
"32","Coptosapelta",2
"33","Corythophora",1
"34","Coussapoa",11
"35","Croton",1
"36","Curarea",2
"37","Dalbergia",10
"38","Davilia",3
"39","Davilla",12
"40","Derris",94
"41","Dialium",1
"42","Dicella",6
"43","Dichapetalum",42
"44","Dicraeopetalum",6
"45","Dicranostyles",10
"46","Dioclea",23
"47","Diospyros",1
"48","Diplopterys",8
"49","Doliocarpus",91
"50","Dombeya",2
"51","Entada",9
"52","Erythrospermum",4
"53","Eschweilera",6
"54","Ficus",5
"55","Fissistigma",2
"56","Forsteronia",21
"57","Goethalsia",2
"58","Guarea",1
"59","Heteropteris",1
"60","Heteropterys",1
"61","Hippocratea",2
"62","Hiprocatea",2
"63","Hiraea",3
"64","Hylenaea",3
"65","Iodes",4
"66","Iryanthera",2
"67","Leonia",1
"68","Leptoderris",8
"69","Licania",5
"70","Machaerium",164
"71","Manilkara",5
"72","Marcgravia",4
"73","Maripa",117
"74","Markhamia",1
"75","Mascagnia",20
"76","Memora",9
"77","Mesechites",1
"78","Mezia",25
"79","Miconia",2
"80","Millettia",2
"81","Mollinedia",12
"82","Moutabea",86
"83","Mussatia",6
"84","Neuropeltis",2
"85","Niedenzuella",2
"86","Norantea",31
"87","Odontadenia",3
"88","Omphalea",9
"89","Oncostemum",2
"90","Pancovia",4
"91","Paragonia",9
"92","Paullinia",56
"93","Pentacalia",2
"94","Pentaclethra",3
"95","Phanera",34
"96","Pinzona",274
"97","Piptadenia",3
"98","Pouteria",1
"99","Prionostema",10
"100","Prionostemma",23
"101","Protium",1
"102","Rhaphiostylis",6
"103","Rhaptopetalum",2
"104","Saba",7
"105","Salacia",25
"106","Schefflera",18
"107","Schnella",11
"108","Sciadotenia",3
"109","Sericostachys",4
"110","Stizophyllum",2
"111","Strongylodon",6
"112","Strychnos",165
"113","Swartzia",5
"114","Tachigali",3
"115","Tapura",1
"116","Telitoxicum",60
"117","Tetracera",138
"118","Thinouia",3
"119","Tiliacora",46
"120","Tontelea",25
"121","Trichostigma",1
"122","Tynanthus",10
"123","Uncaria",12
"124","Unknown",1109
"125","UNKNOWN",3
"126","Ventilago",2
"127","Vepris",15
"128","Williugbeia",2
"129","Xylophragma",6
